Store Name	latitude	longitude	_category	Province_Full	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	_blurb
Salvation Army Thrift Store	51.3631784	-55.5867542	Thrift Stores	Newfoundland & Labrador	F: 13:00 T: 17:00	closed	F: 13:00 T: 17:00	closed	F: 13:00 T: 17:00	F: 13:00 T: 17:00	closed	<p>West St., St. Anthony, NL, A0K 4S0<br>(709) 454-3910</p>
Salvation Army Thrift Store	48.9521296	-57.9533479	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 09:00 T: 16:00	F: 12:00 T: 16:00	F: 13:00 T: 15:20	<p>6 Herald Ave, Corner Brook, NL, A2H 6J3<br>709-634-6153</p>
Salvation Army Thrift Store	49.5025	-56.0696	Thrift Stores	Newfoundland & Labrador								<p>Main St, Springdale, NL, A0J 1T0<br>709-673-3216</p>
Second Chance	47.5277555	-52.8735494	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	<p>1676 Topsail Rd, Paradise, NL, A1L 1V5<br>709-782-5524</p>
SPCA Thrift Store	47.5263441	-52.8129514	Thrift Stores	Newfoundland & Labrador	closed	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 12:00 T: 18:00	F: 11:00 T: 17:00	closed	<p>1062 Topsail Rd Main, Mount Pearl, NL, A1N 5G4<br>(709) 699-8885</p>
Special Olympics Thrift Store	47.5277092	-52.8217708	Thrift Stores	Newfoundland & Labrador	closed	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>1154 Topsail Rd, Mount Pearl, NL, A1N 5G4<br>709-769-9649</p>
The Salvation Army	47.0002038	-65.5669528	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>407 Creston Blvd, Marystown, NL, A0E 2M0<br>+1 800-725-2769</p>
The Salvation Army Sprindale Citadel	49.5108197	-56.1070976	Thrift Stores	Newfoundland & Labrador								<p>156 Little Bay Rd, Springdale, NL, A0J 1T0<br>709-673-3576</p>
The Salvation Army Thrift Store	47.5585334	-52.7523657	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>51 Kenmount Rd, St. John&#x27;s, NL, A1B 3P8<br>709-753-5841</p>
The Salvation Army Thrift Store	47.5204368	-52.9459955	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	closed	<p>274 Conception Bay Hwy, Conception Bay, NL, A1W 5K7<br>(709) 834-2713</p>
The Salvation Army Thrift Store	49.5108197	-56.1070976	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 17:30	F: 09:00 T: 17:30	F: 09:00 T: 17:30	F: 09:00 T: 17:30	F: 09:00 T: 17:30	F: 10:00 T: 17:00	closed	<p>156 Little Bay, Grand Falls-Windsor, NL, A0J 1T0<br>709-673-3216</p>
The Yard Sale Shop	47.3866292	-53.1242125	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 16:00	<p>421 NL-60, Holyrood, NL, A0A 2R0<br>709-229-7400</p>
Too Good to Be True	47.5918160	-52.7106877	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 18:00	F: 10:00 T: 16:00	F: 10:00 T: 17:00	closed	<p>141 Torbay Rd, St. John&#x27;s, NL, A1L 1H7<br>709-753-4573</p>
Traders Exchange	47.5623998	-52.7422129	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 12:00 T: 17:00	<p>321 Freshwater Rd, St. John&#x27;s, NL, A1B 1C3<br>(709) 754-5960</p>
Value Village	47.5522684	-52.7742573	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 20:00	<p>161 Kenmount Rd, St. John&#x27;s, NL, A1B 3P9<br>(709) 726-5200</p>
Better Than Before	46.2556164	-63.1295554	Thrift Stores	Prince Edward Island								<p>155 Belvedere Ave, Charlottetown, PE, C1A 2Y9<br>709-636-6922</p>
Church Mouse Thrift Shop	46.2366820	-63.4989994	Thrift Stores	Prince Edward Island	closed	closed	closed	closed	closed	F: 09:00 T: 14:00	closed	<p>391 Nelson St., Crapaud, PE, C0A 1J0<br>902-658-2995</p>
Glitter Ghost clothing and accessories	46.4918965	-63.3465799	Thrift Stores	Prince Edward Island								<p>8779 Route 6, Cavendish, PE, C0A 1N0</p>
Green Isle Thrift Store	46.4232070	-63.7775720	Thrift Stores	Prince Edward Island	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 14:00	closed	<p>27014 PE-2, Summerside, PE, C1N 4J8<br>902-201-0190</p>
Habitat for Humanity Restore	46.2743326	-63.1551114	Thrift Stores	Prince Edward Island	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>167 Minna Jane Dr., Charlottetown, PE, C1E 2A1<br>902 368-7539</p>
How Bazaar	46.4338320	-63.6449548	Thrift Stores	Prince Edward Island	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	<p>107 Victoria St. W., Kensington, PE, C0B 1M0<br>902-212-5780</p>
Luxury Market Consignment Boutique	46.2334646	-63.1265120	Thrift Stores	Prince Edward Island	F: 12:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	closed	<p>94 Queen St., Charlottetown, PE, C1A 4B1<br>902-370-1576</p>
Mission Thrift Store	46.2480237	-63.1254041	Thrift Stores	Prince Edward Island	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 15:00	closed	<p>68 Allen St., Charlottetown, PE, C1A 5A9<br>902-894-4236</p>
My Sisters Closet	46.1669	-62.6481	Thrift Stores	Prince Edward Island	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	closed	<p>Downeast Mall, Montague, PE, C0A 1R0<br>902-361-3002</p>
Nearly New Shop	46.1633532	-62.6442251	Thrift Stores	Prince Edward Island	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>586 Main St., Montague, PE, C0A 1R0<br>902-838-4995</p>
R & S Frenchy's	46.3899052	-63.7906428	Thrift Stores	Prince Edward Island	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>255 Heather Moyse Dr., Summerside, PE, C1N 5P1<br>902-724-3515</p>
Repeats Quality Used Family Clothing and Costumes	46.2652399	-63.1551581	Thrift Stores	Prince Edward Island	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	closed	<p>95 Capital Dr., Charlottetown, PE, C1E 1E8<br>902-892-0200</p>
Rose Cottage Antiques and Gifts	46.3940760	-63.7965870	Thrift Stores	Prince Edward Island	closed	closed	F: 11:00 T: 17:30	F: 11:00 T: 17:30	F: 11:00 T: 17:30	F: 11:00 T: 16:00	closed	<p>401 Water St., Summerside, PE, C1N 1C8<br>902-724-3399</p>
Salvage Garden Consignment	46.0148826	-62.6119150	Thrift Stores	Prince Edward Island	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>9389 Main St. N., Murray River, PE, C0A 1W0<br>902-969-8542</p>
Salvation Army	46.3942590	-63.7892386	Thrift Stores	Prince Edward Island	F: 12:30 T: 14:30	closed	F: 12:30 T: 14:30	closed	F: 12:30 T: 14:30	closed	closed	<p>299 Pope Ave, Summerside, PE, C1N 3N6<br>902-436-6044</p>
Salvation Army Thrift Store	46.4237330	-63.8056830	Thrift Stores	Prince Edward Island	closed	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>79 All Weather Hwy, Summerside, PE, C1N 5L3<br>902-436-4519</p>
Second Impressions	46.4095	-63.9775	Thrift Stores	Prince Edward Island	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 15:00	closed	<p>2238 Ohalloran Rd, Bloomfield, PE, C0B 1E0<br>902-856-0403</p>
Second Time Around	46.3563225	-62.2615230	Thrift Stores	Prince Edward Island	closed	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>30 Main St., Souris, PE, C0A 2B0<br>902-687-1715</p>
The Everything Store	46.3945998	-63.7978368	Thrift Stores	Prince Edward Island	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 14:00	<p>433 Water St., Summerside, PE, C1N 1C8</p>
The Free Store	46.3903799	-63.7843779	Thrift Stores	Prince Edward Island	closed	closed	closed	closed	closed	F: 12:00 T: 17:00	closed	<p>109 Water St, Summerside, PE, C1N 1A8<br>902-439-4720</p>
The Shoppe	46.6033005	-63.8574682	Thrift Stores	Prince Edward Island	F: 09:00 T: 16:00	closed	F: 09:00 T: 16:00	F: 09:00 T: 16:00	closed	closed	F: 09:00 T: 16:00	<p>19 Indian Feather Path, Lennox Island, PE, C0B 1P0<br>902-831-2380</p>
Value Village	46.2418418	-63.1343049	Thrift Stores	Prince Edward Island	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 12:00 T: 20:00	<p>339 University Ave., Charlottetown, PE, C1A 4M8<br>902-566-4084</p>
Vintage	46.2547170	-63.6956080	Thrift Stores	Prince Edward Island	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	<p>101 Abegweit Blvd, Borden-Carleton, PE, C0B 1X0<br>902-992-0250</p>
